CODGEO;LIBGEO;REG;DEP;P14_POP;P09_POP;SUPERF;NAIS0914;DECE0914;P14_MEN;NAISD16;DECESD16;P14_LOG;P14_RP;P14_RSECOCC;P14_LOGVAC;P14_RP_PROP;NBMENFISC14;PIMP14;MED14;TP6014;P14_EMPLT;P14_EMPLT_SAL;P09_EMPLT;P14_POP1564;P14_CHOM1564;P14_ACT1564;ETTOT15;ETAZ15;ETBE15;ETFZ15;ETGU15;ETGZ15;ETOQ15;ETTEF115;ETTEFP1015;Geo Shape;geo_point_2d
95555;Saint-Gratien;11;95;20996.0;20258.0;2.42;1564.0;749.0;8909.81781473;257.0;156.0;9337.3924971;8909.81781473;56.9198899777;370.654792396;4479.40268148;8217.0;67.7611577283;21552.8571429;14.9728814391;3831.1351052;3224.51967158;3516.342843;13417.9554582;1387.83233962;10146.8442425;1475.0;3.0;38.0;142.0;1078.0;225.0;214.0;335.0;67.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.2746219582, 48.9641395799], [2.2746750289, 48.9649366539], [2.273898382, 48.9697915954], [2.2718114758, 48.9738723921], [2.2716464045, 48.9748318015], [2.2734206536, 48.9767058298], [2.2737103447, 48.9766023708], [2.2738431139, 48.9767794295], [2.2742296031, 48.9765920248], [2.2759375414, 48.9757840203], [2.2770969284, 48.9760095334], [2.2792135565, 48.9764602104], [2.2825916352, 48.9772700109], [2.2842638623, 48.9773609337], [2.2902150728, 48.9772281347], [2.2918541908, 48.9762405458], [2.2919906586, 48.9761505263], [2.2928787397, 48.9762411944], [2.2950626295, 48.9763763479], [2.2969745244, 48.9760179739], [2.2978629208, 48.9750744602], [2.2960199937, 48.9745798567], [2.2958155542, 48.9744446671], [2.2930195616, 48.9716126343], [2.2934991683, 48.9690885315], [2.2950701549, 48.9679647026], [2.2980050594, 48.9665727693], [2.2986199686, 48.9663488529], [2.2980055038, 48.9660341116], [2.2930943325, 48.963201346], [2.2893785699, 48.9598745643], [2.2887990511, 48.9591112433], [2.2884581276, 48.9589761283], [2.2883889501, 48.9597400996], [2.2761616556, 48.9641048191], [2.2746219582, 48.9641395799]]]}";48.9695044801, 2.28470111182
95488;Pierrelaye;11;95;8155.0;7920.0;9.21;639.0;243.0;2891.0;152.0;46.0;3086.0;2891.0;11.0;184.0;1591.0;2903.0;66.5862900448;21415.2777778;14.3873919675;3039.64636696;2661.25042701;2898.932365;5476.0;509.0;4044.0;878.0;8.0;47.0;135.0;623.0;241.0;65.0;228.0;72.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.1936175279, 49.0057463509], [2.1934124909, 49.0057467716], [2.1906696773, 49.0045745765], [2.1860668439, 49.0025246407], [2.1823485872, 49.0008258639], [2.1820766555, 49.0007358844], [2.1607836037, 49.0125326699], [2.1575043162, 49.0130213672], [2.1565807401, 49.0131551632], [2.1557144071, 49.0127947716], [2.1551710853, 49.0120751517], [2.1548349597, 49.0106366934], [2.1546329672, 49.0096928625], [2.1546377694, 49.0083898894], [2.1547944306, 49.0063227244], [2.1548653462, 49.0058286373], [2.1547299691, 49.0052440715], [2.1498601887, 49.0073939506], [2.1467116532, 49.0090064396], [2.1406882871, 49.0125910257], [2.1383601357, 49.0141597036], [2.1376744846, 49.014697923], [2.1361531342, 49.0159980802], [2.1306005652, 49.0208507635], [2.1286798555, 49.0228691168], [2.1303841055, 49.0238157796], [2.1463575284, 49.0312195767], [2.1488813164, 49.0323471373], [2.1543374765, 49.035230831], [2.1551554697, 49.0357266649], [2.1557696085, 49.0363118814], [2.1560425059, 49.03626704], [2.1566232178, 49.0361326393], [2.156931017, 49.036043979], [2.1588477097, 49.0354171729], [2.1603670146, 49.0348352171], [2.1615298887, 49.0343883351], [2.1656355807, 49.0325969029], [2.1670042971, 49.0320147156], [2.1683044671, 49.0316118827], [2.1687142137, 49.0313881153], [2.1749400221, 49.0291047577], [2.1787164356, 49.0276721015], [2.1807002998, 49.0269114201], [2.1831631663, 49.0254255907], [2.1821408036, 49.0247028451], [2.1807091008, 49.0236670632], [2.1752842147, 49.0175942686], [2.176933988, 49.0146875671], [2.1811552695, 49.0120214174], [2.1927827318, 49.0088017611], [2.1970273322, 49.0076378381], [2.1970956941, 49.0075483712], [2.1964820289, 49.0072780889], [2.1936174988, 49.005836275], [2.1936175279, 49.0057463509]]]}";49.0190794714, 2.1606870483
95543;Saint-Cyr-en-Arthies;11;95;242.0;229.0;3.89;9.0;4.0;93.1548117155;1.0;1.0;106.271928833;93.1548117155;7.06306306306;6.05405405405;86.0669456067;96.0;;25937.1428571;;25.1120238176;18.0608190603;16.867783;141.757322176;9.1129707113;109.355648536;13.0;2.0;0.0;2.0;5.0;2.0;4.0;4.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[1.7320685094, 49.0504193859], [1.7319973635, 49.0506434535], [1.7311649934, 49.0516724265], [1.7306114397, 49.0522088402], [1.7298546066, 49.0526091103], [1.7254414241, 49.05469904], [1.7244136758, 49.0548733817], [1.7244793048, 49.0550979972], [1.7304076772, 49.0625509756], [1.7346876698, 49.0650439163], [1.737675751, 49.0678891278], [1.7387568742, 49.0690182573], [1.7409562934, 49.0720628197], [1.7408704084, 49.0726689162], [1.7420976725, 49.0727456153], [1.7454009003, 49.0728394957], [1.7463302999, 49.0728384036], [1.7463743287, 49.0726590124], [1.7483639331, 49.0661008003], [1.7509060968, 49.0649896921], [1.7522771264, 49.064771928], [1.7538622746, 49.064869311], [1.7569459351, 49.0642825622], [1.7587971752, 49.0637252752], [1.7590729997, 49.0636363998], [1.7594182074, 49.0632784627], [1.7594189889, 49.0631885449], [1.7553604728, 49.059349893], [1.7502240293, 49.0541042117], [1.7500246697, 49.0535194117], [1.7505323364, 49.0509599761], [1.7511782975, 49.0482230152], [1.7504289125, 49.0480389642], [1.7458525924, 49.0477026028], [1.7457842059, 49.0477018888], [1.7413916022, 49.0480848965], [1.7356433379, 49.0486845959], [1.7348181849, 49.0490850778], [1.7324797428, 49.0503311006], [1.7320685094, 49.0504193859]]]}";49.058878265, 1.74176317637
95523;La Roche-Guyon;11;95;446.0;447.0;4.61;18.0;21.0;186.507592836;0.0;6.0;267.570529899;186.507592836;49.2167832168;31.8461538462;113.442762653;185.0;;21100.0;;372.590625933;338.427248967;505.75321;280.164177456;24.9958629574;204.811693925;74.0;0.0;6.0;6.0;48.0;17.0;14.0;13.0;4.0;"{""type"": ""Polygon"", ""coordinates"": [[[1.6233233619, 49.0860784043], [1.623594765, 49.0861696402], [1.6299660063, 49.0889932644], [1.6332620883, 49.0906395574], [1.6333281841, 49.0907293353], [1.6331894596, 49.090953472], [1.6314413307, 49.0926502671], [1.6305422077, 49.0934088931], [1.6304010894, 49.0937229245], [1.6309316036, 49.0948935027], [1.6321955554, 49.0975912614], [1.6334404512, 49.0990945773], [1.6348302548, 49.1000383909], [1.6403336381, 49.0989119405], [1.640075612, 49.0977328032], [1.640076601, 49.0976428893], [1.6453460818, 49.0975926655], [1.6489357512, 49.100309217], [1.6487947254, 49.1006232679], [1.6481746608, 49.1009786947], [1.6464571742, 49.1015079142], [1.6454282095, 49.1016824712], [1.6442764786, 49.1033043201], [1.642983615, 49.1053966665], [1.6429804702, 49.1056214418], [1.6436577188, 49.1061200689], [1.6453587574, 49.1068037822], [1.6489708393, 49.1080017383], [1.6516967959, 49.1087813971], [1.6521088294, 49.1087383562], [1.6530765686, 49.1080253114], [1.6546736641, 49.1062824771], [1.6531829934, 49.1051417403], [1.6515813119, 49.1046382005], [1.6521764818, 49.1036080459], [1.6544909502, 49.1003409333], [1.6570666306, 49.0970757874], [1.6583832842, 49.0957802815], [1.6585507202, 49.093489962], [1.6581399765, 49.0934880761], [1.6572460255, 49.0937973294], [1.6560061436, 49.0945091707], [1.6536664549, 49.0954388966], [1.653186483, 49.0955711063], [1.6531855168, 49.0956610204], [1.6510895646, 49.0978505764], [1.6508157127, 49.0978493023], [1.6487747425, 49.097028749], [1.6448980157, 49.0952450679], [1.6435074678, 49.0868429268], [1.6449851768, 49.0846788868], [1.6463091971, 49.0820517727], [1.6466035243, 49.0813176911], [1.6455075104, 49.0814015663], [1.6441401012, 49.0813933434], [1.6429103427, 49.0812517694], [1.631504901, 49.0789830952], [1.6304143021, 49.0787071868], [1.6292577223, 49.0782866326], [1.6258598335, 49.0766938912], [1.6202889048, 49.0740545452], [1.6201528924, 49.0739189916], [1.62001603, 49.0739183194], [1.6155867348, 49.0718610892], [1.6147719794, 49.0713615935], [1.6142964314, 49.0711789529], [1.6141564761, 49.071448022], [1.6126989861, 49.0729752662], [1.612284094, 49.073287921], [1.6106132448, 49.0753666288], [1.6089401525, 49.0776260389], [1.6087988076, 49.0778941852], [1.6100945727, 49.078171765], [1.6220358136, 49.0851724803], [1.6233233619, 49.0860784043]]]}";49.0883415268, 1.63442788467
95678;Villiers-Adam;11;95;838.0;828.0;9.82;45.0;29.0;340.83198146;5.0;9.0;364.250975873;340.83198146;9.8606292267;13.5583651867;299.077636153;327.0;;28242.0;;102.75265398;83.329975258;78.177577;516.588644264;33.9860950174;400.064889919;75.0;6.0;3.0;8.0;53.0;12.0;5.0;14.0;2.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.236020304, 49.0874457528], [2.2373201448, 49.0874018544], [2.239715779, 49.0872246066], [2.243783249, 49.0864634891], [2.2497196465, 49.0853902122], [2.2509462028, 49.0879514967], [2.2507368402, 49.0906926458], [2.2508724519, 49.0907825081], [2.2584117124, 49.0911916108], [2.2578688789, 49.0875070823], [2.2578756089, 49.0836883588], [2.2738209944, 49.0767245535], [2.274026078, 49.0765450584], [2.273548178, 49.0763650337], [2.2706081963, 49.0751953852], [2.2701309532, 49.0749703917], [2.2697883626, 49.074611338], [2.2695853133, 49.0729933844], [2.2695864815, 49.0722299896], [2.2699303348, 49.071331102], [2.2704774421, 49.0704784058], [2.2712993282, 49.0698404786], [2.2715735642, 49.0697054658], [2.2719153758, 49.0694359847], [2.2715052321, 49.0692114016], [2.2680878454, 49.0697085651], [2.2652125675, 49.0702862768], [2.263705457, 49.072720123], [2.2634313683, 49.0730349542], [2.2572035555, 49.0753668572], [2.2567943943, 49.075456943], [2.2565752495, 49.0752766516], [2.2555514947, 49.0737489063], [2.2554834791, 49.0734337726], [2.2554176503, 49.0717267225], [2.2553510936, 49.0707381107], [2.2546675924, 49.0706835196], [2.2499600928, 49.0640308394], [2.2434430847, 49.0573224832], [2.2391056281, 49.0535103761], [2.2350700333, 49.0495876167], [2.2348654015, 49.0493633115], [2.2345221201, 49.0495427632], [2.2338371749, 49.0504402955], [2.2330843425, 49.051023569], [2.2315784302, 49.0517413989], [2.2313055167, 49.0517864113], [2.2313048509, 49.051831367], [2.229799571, 49.0525033192], [2.2279534933, 49.0529060005], [2.2236462271, 49.0534861017], [2.2163026792, 49.0559876509], [2.2109404146, 49.0582589948], [2.2046090062, 49.060970586], [2.2040616807, 49.0610595787], [2.2045376147, 49.0620572397], [2.2028890703, 49.0649758856], [2.2026831224, 49.065020378], [2.2026837999, 49.0650653421], [2.2038448516, 49.065381463], [2.2059638157, 49.0656985108], [2.2088347684, 49.0658810999], [2.2204494794, 49.0701166482], [2.2337163095, 49.076786675], [2.236020304, 49.0874457528]]]}";49.0697597649, 2.23847351378
95627;Vallangoujard;11;95;636.0;638.0;7.6;39.0;18.0;235.109004739;6.0;4.0;258.714267897;235.109004739;15.3947368421;8.21052631579;205.971563981;235.0;;28332.6666667;;92.2141120084;60.1536656935;190.690896;436.056872038;21.0995260664;323.526066351;64.0;5.0;4.0;7.0;40.0;10.0;8.0;20.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.0918481657, 49.1163603929], [2.0925983759, 49.1170898782], [2.0928707338, 49.1174947558], [2.093411318, 49.1189329891], [2.0935439418, 49.1196524154], [2.093519511, 49.1250435637], [2.0914358552, 49.1282378164], [2.089153965, 49.1329509815], [2.0888924953, 49.137690188], [2.0888235806, 49.1423876714], [2.0911805321, 49.1431077186], [2.0912860275, 49.145453461], [2.0905265944, 49.1467101092], [2.0885852825, 49.1479865801], [2.0871610897, 49.1487697216], [2.0853106927, 49.1490802611], [2.085298861, 49.1513801486], [2.0854983385, 49.1525037779], [2.0861847, 49.1523705244], [2.0997689036, 49.150556838], [2.1116428815, 49.1441101762], [2.1120030926, 49.1437244089], [2.1123348278, 49.1434804934], [2.1135164758, 49.1419435911], [2.1159860238, 49.1411435433], [2.1174913384, 49.1411914556], [2.1202294106, 49.1416008277], [2.1209129392, 49.1417820527], [2.1233437638, 49.1429389856], [2.1261135004, 49.142779302], [2.1308552756, 49.1418893307], [2.1308579523, 49.1414847402], [2.1305208077, 49.1399339966], [2.130046565, 49.1388776822], [2.1298421752, 49.1385633053], [2.1279158145, 49.1374811869], [2.1259319978, 49.1368041298], [2.1231153226, 49.1349790661], [2.1210184879, 49.1330575892], [2.1209502948, 49.1328772627], [2.1189139789, 49.1286957356], [2.1187780505, 49.1284708528], [2.1185743907, 49.1282005162], [2.114351232, 49.1230173786], [2.1142151715, 49.1228824033], [2.1139411805, 49.1228821839], [2.1106105084, 49.1213011733], [2.107414641, 49.1189837592], [2.1061243922, 49.1171470916], [2.1051385304, 49.1138704181], [2.105138713, 49.1137805034], [2.1055507511, 49.1135569796], [2.1038460597, 49.1119365892], [2.1033674623, 49.1118907617], [2.0986410672, 49.1127348165], [2.0950749919, 49.1143454147], [2.092192383, 49.1161813607], [2.0918481657, 49.1163603929]]]}";49.1336202497, 2.10424995109
95492;Le Plessis-Gassot;11;95;70.0;77.0;4.1;8.0;4.0;34.5205479452;0.0;0.0;39.5205479452;34.5205479452;1.0;4.0;14.3835616438;;;;;50.5122692079;48.5944609888;27.681654;44.1095890411;0.958904109589;39.3150684932;11.0;4.0;0.0;4.0;1.0;1.0;2.0;5.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3995744622, 49.0397214136], [2.3999868531, 49.0408438693], [2.4009589227, 49.0427756897], [2.4029439985, 49.0445264056], [2.4164137526, 49.048256789], [2.4166873489, 49.0482563195], [2.4179841026, 49.0470424147], [2.4185297131, 49.0464488967], [2.4190895335, 49.0456845991], [2.4225007859, 49.0417733929], [2.4298747087, 49.0377694542], [2.4315126959, 49.036690094], [2.4349254359, 49.0343862783], [2.4349245577, 49.0343413144], [2.4341684176, 49.0338270109], [2.4326670418, 49.0326806454], [2.4283627388, 49.028019465], [2.4232122223, 49.0276000852], [2.4172718033, 49.0282440067], [2.4170661856, 49.0282888679], [2.4164507759, 49.0279297946], [2.4111787392, 49.0246093728], [2.4102723966, 49.0239898676], [2.4100082128, 49.0240155459], [2.4097495158, 49.0241599459], [2.4095452648, 49.0242057003], [2.4095447638, 49.024249759], [2.4061466122, 49.0273892101], [2.4029162385, 49.0308863748], [2.4007672845, 49.0340201728], [2.3996427657, 49.0391372789], [2.3995744622, 49.0397214136]]]}";49.036073436, 2.41501059111
95594;Seugy;11;95;1008.0;1042.0;1.7;48.0;31.0;414.467065868;11.0;3.0;450.237570007;414.467065868;14.4785373894;21.2919667491;329.964071856;401.0;;26468.8888889;;104.189946573;80.138883407;101.62424;683.065868263;48.2874251497;540.215568862;86.0;0.0;3.0;13.0;65.0;20.0;5.0;19.0;2.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3960402411, 49.1156621262], [2.3891276314, 49.1164373346], [2.386623988, 49.1174558936], [2.3845441168, 49.1190007593], [2.3848222185, 49.123268525], [2.3848926778, 49.1250653295], [2.3848922161, 49.1253350633], [2.3844137716, 49.1260537105], [2.3839691632, 49.1265756215], [2.3836626323, 49.1270065279], [2.3835256922, 49.1272315051], [2.385272877, 49.1283544517], [2.3856497209, 49.1285793576], [2.386745125, 49.1289823553], [2.3876340052, 49.1288924752], [2.3911256443, 49.128486711], [2.3945470181, 49.127406154], [2.3950947157, 49.1273162997], [2.3982577713, 49.1271127759], [2.4000370114, 49.1272691165], [2.4028971346, 49.1288603943], [2.4044082764, 49.1287465034], [2.4057630485, 49.1284088406], [2.4076354122, 49.1265371218], [2.4078407428, 49.1263124541], [2.4078404002, 49.1262225407], [2.4026664, 49.1217777903], [2.396465138, 49.1163439992], [2.3960402411, 49.1156621262]]]}";49.1229725942, 2.39417999384
95676;Villers-en-Arthies;11;95;503.0;463.0;8.25;32.0;13.0;204.0;7.0;1.0;260.0;204.0;43.0;13.0;169.0;201.0;;25561.0;;72.4224405966;53.4224405966;63.645781;322.0;21.0;257.0;45.0;6.0;3.0;4.0;27.0;3.0;5.0;12.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[1.7063322507, 49.0777479901], [1.7061881602, 49.0784208805], [1.7049545748, 49.0785937408], [1.7038558336, 49.078902931], [1.7039900766, 49.0791732558], [1.7058365819, 49.0843917283], [1.7067847801, 49.0911121117], [1.7075028169, 49.0939461522], [1.7075703919, 49.0940368027], [1.7113872435, 49.0952252024], [1.7146625224, 49.09600573], [1.7326233061, 49.0999704753], [1.738629887, 49.101259285], [1.7391776091, 49.1012623316], [1.7409246878, 49.0992483791], [1.7410640383, 49.098980069], [1.7433124692, 49.0939588962], [1.7508687267, 49.0912104474], [1.7539041055, 49.0901925395], [1.7541779193, 49.0901935788], [1.7543166968, 49.0900592323], [1.7568458692, 49.0901618473], [1.7602633765, 49.0904480245], [1.761084801, 49.0904519962], [1.7607769239, 49.0873500565], [1.757627552, 49.0875954141], [1.755163995, 49.0876733411], [1.7550342796, 49.0870883922], [1.7498300748, 49.0781237809], [1.7475584822, 49.0766190693], [1.7470578483, 49.0759241271], [1.7464448665, 49.0744978188], [1.7460984268, 49.0733710396], [1.7463302999, 49.0728384036], [1.7454009003, 49.0728394957], [1.7420976725, 49.0727456153], [1.7408704084, 49.0726689162], [1.7405014392, 49.07270102], [1.731645139, 49.0737319448], [1.7212796311, 49.075835169], [1.7155501188, 49.0767039021], [1.7069490432, 49.0776611049], [1.7063322507, 49.0777479901]]]}";49.0861330336, 1.73009571144
95633;Vaudherland;11;95;78.0;89.0;0.09;9.0;6.0;29.0;3.0;0.0;34.0;29.0;0.0;5.0;20.0;;;;;93.7265122644;65.9892488894;149.759281;60.0;7.0;50.0;27.0;0.0;0.0;0.0;26.0;6.0;1.0;10.0;3.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.4857556239, 48.9993334315], [2.4854870222, 48.9994078148], [2.4849226895, 48.9995357811], [2.4842420762, 48.9996749349], [2.4837056696, 48.9994676059], [2.4834987604, 48.9992473055], [2.4835704812, 48.9997313953], [2.4865591726, 49.0015507528], [2.4880363421, 49.0019922855], [2.4881190291, 49.0022003578], [2.4890343259, 49.0021035457], [2.4891233228, 49.0019483597], [2.4889699543, 49.0011447039], [2.4886018053, 49.0002241327], [2.4879550192, 48.9988725431], [2.4868521991, 48.9990045142], [2.4857556239, 48.9993334315]]]}";49.0004247231, 2.48689750161
